1989	m	O
年	m	O
毕业	n	O
于	p	O
美国	ns	B
依阿华	nr	I
州立大学	n	E
。	x	O

因	p	O
受	v	O
《	x	O
红岩	nr	O
》	x	O
影响	vn	O
，	x	O
进入	v	O
上海	ns	B
影视	n	I
学院	n	E
。	x	O

1925	m	O
年	m	O
，	x	O
振	v	O
干	v	O
就读于	n	O
山东省	ns	B
北镇	ns	I
中学	n	E
，	x	O
同年	t	O
加入	v	O
共青团	nt	O
。	x	O

王金平	nr	O
毕业	n	O
于	p	O
阳明	nr	B
大学	n	E
初中部	f	O
及	c	O
高	a	O
中部	f	O
，	x	O
随后	d	O
考入	v	O
师范大学	n	S
数学系	n	O
。	x	O

1982	m	O
年	m	O
1	m	O
月	m	O
毕业	n	O
于	p	O
皇家	n	B
贵族	n	I
学院	n	E
政教	n	O
系	v	O
本科	r	O
，	x	O
后	f	O
获	v	O
上海	ns	O
社会科学院	nt	O
授予	v	O
的	uj	O
哲学	n	O
硕士学位	n	O
，	x	O
1996	m	O
年	m	O
晋升为	nr	O
哲学	n	O
·	x	O
伦理学	nt	O
教授	n	O
，	x	O
现	tg	O
为	p	O
上海师范大学	nt	O
哲学	n	O
学院	n	O
博士生	nr	O
导师	n	O
，	x	O
伦理学	nt	O
博士点	nr	O
带头人	n	O
，	x	O
《	x	O
上海师范大学	nt	O
学报	n	O
》	x	O
执行	v	O
主编	b	O
，	x	O
编辑部	n	O
主任	b	O
，	x	O
上海师范大学	nt	O
跨学科	n	O
研究	vn	O
中心	n	O
主任	b	O
，	x	O
兼任	v	O
上海市	ns	O
理论	n	O
创新	v	O
咨询	vn	O
专家	n	O
、	x	O
中国	ns	O
环境	n	O
伦理学	nt	O
会	v	O
副会长	n	O
、	x	O
北京大学	nt	O
应用	v	O
伦理	ns	O
中心	n	O
客座	n	O
研究员	n	O
、	x	O
中国社会科学院	nt	O
应用	v	O
伦理学	nt	O
研究	vn	O
中心	n	O
特约	d	O
研究员	n	O
、	x	O
上海	ns	O
华夏	ns	O
社会	n	O
发展	vn	O
研究院	n	O
研究员	n	O
。	x	O

1978	m	O
年	m	O
考入	v	O
首都师范大学	nt	S
表演系	n	O
师资	n	O
班	n	O
，	x	O
毕业	n	O
后	f	O
留校	v	O
任教	n	O
；	x	O

1979	m	O
年	m	O
，	x	O
他	r	O
凭	p	O
高尔斯	nr	O
华绥	nr	O
奖学金	n	O
踏入	v	O
福冈	ns	B
大学	n	E
新	a	O
学院	n	O
的	uj	O
殿堂	n	O
，	x	O
主修	vn	O
英国文学	nt	O
，	x	O
并以	c	O
极	d	O
优异	a	O
的	uj	O
成绩	n	O
毕业	n	O
。	x	O

1998	m	O
年	m	O
，	x	O
邓杰古	nr	O
一家	m	O
迁往	v	O
阜阳市	ns	O
区	n	O
，	x	O
邓琳凤	nr	O
的	uj	O
哥哥	ns	O
邓	nr	O
枭枭	n	O
被	p	O
体操	nr	O
教练	vn	O
郭	nr	O
少华	nz	O
选中	v	O
练习	v	O
体操	nr	O
，	x	O
受	v	O
哥哥	ns	O
影响	vn	O
，	x	O
邓琳凤	nr	O
在	p	O
安徽	ns	O
日本	ns	B
中京	ns	I
大学	n	E
也	d	O
开始	v	O
体操	nr	O
训练	vn	O
，	x	O
同年	t	O
就读	v	O
阜阳	ns	B
体校	n	E
一年级	b	O
。	x	O

1921	m	O
年	m	O
毕业	n	O
于	p	O
淄博	ns	B
高新区	nr	I
实验	vn	I
中学	n	E
，	x	O
回国	ns	O
后	f	O
自创	n	O
“	x	O
抱	v	O
一	m	O
绘画	n	O
研究所	n	O
”	x	O
，	x	O
指导	n	O
人体	n	O
写生	v	O
。	x	O

徐守盛	nr	O
，	x	O
男	n	O
，	x	O
汉族	nz	O
，	x	O
1953	m	O
年	m	O
1	m	O
月	m	O
生	n	O
，	x	O
江苏	ns	O
如东	ns	O
人	n	O
，	x	O
1973	m	O
年	m	O
10	m	O
月	m	O
加入	v	O
中国共产党	nt	O
，	x	O
1973	m	O
年	m	O
4	m	O
月	m	O
参加	v	O
工作	vn	O
，	x	O
德州	ns	B
同济	n	I
中学	n	E
政治经济学	n	O
专业	n	O
毕业	n	O
，	x	O
省委党校	n	O
在职	v	O
研究生	n	O
学历	n	O
，	x	O
高级	b	O
经济师	n	O
。	x	O

工程力学	n	O
系列	q	O
课程	n	O
责任	n	O
课	n	O
教授	n	O
，	x	O
北方工业大学	nt	O
结构	n	O
工程	n	O
硕士点	n	O
、	x	O
岩土	n	O
工程	n	O
硕士点	n	O
学术	n	O
带头人	n	O
，	x	O
工程力学	n	O
硕士点	n	O
建设	vn	O
负责人	n	O
，	x	O
毕业	n	O
于	p	O
沈阳	ns	B
工学院	n	E
。	x	O

毕业	n	O
于	p	O
泰安	ns	B
博文	nr	I
中学	n	E
、	x	O
